F,CR,Mejor Solución,Mejor Fitness,Violaciones
0.4,0.11,"[1756.31476131   83.42917897 3076.22313373   90.49846951   94.25207841
    8.31478649  150.16284372]",1569.9424143596007,0.0
0.4,0.2,"[1728.09066835   73.48648856 3046.37816195   90.79474491   94.78051255
    9.3059807   152.17439412]",1428.579771770259,0.0
0.4,0.3,"[1689.12118805   71.81245423 3015.3788825    88.68777726   94.30303478
    9.80241641  150.33694934]",1511.7223235118872,0.0
0.4,0.4,"[1769.31366384   82.75160372 3088.18363597   91.68649648   94.64884171
    8.52752171  152.38108452]",1502.721754075421,0.0
0.4,0.5,"[1697.13881411   68.73514865 3021.86323316   90.6169741    94.65391933
    9.81217914  152.15291083]",1419.0092928177,0.0
