Generacion,Indice Individuo,Resultado,Violaciones,Tipo
0,0,2629.721551343857,15.599869387997153,Comparacion
0,0,2629.721551343857,15.599869387997153,Actualizacion
0,1,2532.155199575929,12.62123864437359,Comparacion
0,2,685.6716846332238,0.5116775438176233,Comparacion
0,3,1832.8616465409832,0.100295384839451,Comparacion
0,3,1832.8616465409832,0.100295384839451,Actualizacion
0,4,1645.5576558868124,1.2638859853122115,Comparacion
0,4,1645.5576558868124,1.2638859853122115,Actualizacion
0,5,2081.5392858647065,13.498701217331474,Comparacion
0,5,2081.5392858647065,13.498701217331474,Actualizacion
0,6,743.4098108302824,0.24788110774596972,Comparacion
0,6,743.4098108302824,0.24788110774596972,Actualizacion
0,7,957.6855687564675,0.5962819400365886,Comparacion
0,7,957.6855687564675,0.5962819400365886,Actualizacion
0,8,1813.5530200526664,15.233411081573289,Comparacion
0,8,1813.5530200526664,15.233411081573289,Actualizacion
0,9,1392.0351923197522,14.930075522461301,Comparacion
0,9,1392.0351923197522,14.930075522461301,Actualizacion
0,10,1091.214021783806,0.510517028748873,Comparacion
0,10,1091.214021783806,0.510517028748873,Actualizacion
0,11,794.8459528152962,0.3248416466071944,Comparacion
0,11,794.8459528152962,0.3248416466071944,Actualizacion
0,12,942.0113060363437,12.453803983229244,Comparacion
0,12,942.0113060363437,12.453803983229244,Actualizacion
0,13,242.5893938978479,0.5848128537092783,Comparacion
0,14,423.37939807938164,0.6391659700967487,Comparacion
0,14,423.37939807938164,0.6391659700967487,Actualizacion
0,15,1369.5790876483115,11.316753020860913,Comparacion
0,16,2135.9318299658407,0.08118202475182357,Comparacion
0,17,2279.1811538177935,11.967522574837636,Comparacion
0,17,2279.1811538177935,11.967522574837636,Actualizacion
0,18,861.4907705652877,0.25879855714585354,Comparacion
0,19,1697.1371063750848,12.737736351737318,Comparacion
0,19,1697.1371063750848,12.737736351737318,Actualizacion
0,20,452.1635710686023,12.178687054696423,Comparacion
0,21,572.1869856488083,0.5838637903072923,Comparacion
0,21,572.1869856488083,0.5838637903072923,Actualizacion
0,22,1005.6350317162141,0.4271909545010919,Comparacion
0,23,1572.5180517344997,0.09590579089053364,Comparacion
0,24,1984.8365236240024,14.309560047403751,Comparacion
0,24,1984.8365236240024,14.309560047403751,Actualizacion
0,25,1863.1377329296374,13.525738137188503,Comparacion
0,25,1863.1377329296374,13.525738137188503,Actualizacion
0,26,2073.2859901202864,12.73540116662387,Comparacion
0,26,2073.2859901202864,12.73540116662387,Actualizacion
0,27,1207.308767795941,0.1590418138480545,Comparacion
0,27,1207.308767795941,0.1590418138480545,Actualizacion
0,28,841.3165077568665,0.49677687435441764,Comparacion
0,28,841.3165077568665,0.49677687435441764,Actualizacion
0,29,1906.8293380158138,0.16683015205300822,Comparacion
0,29,1906.8293380158138,0.16683015205300822,Actualizacion
0,30,1815.017024219087,0.331499817414036,Comparacion
0,30,1815.017024219087,0.331499817414036,Actualizacion
0,31,1676.7083314014671,0.387109844129224,Comparacion
0,32,1137.5541289385183,0.2827262388480507,Comparacion
0,32,1137.5541289385183,0.2827262388480507,Actualizacion
0,33,1943.6064353726542,12.206878383727764,Comparacion
0,34,1352.735270343961,0.4286668465230925,Comparacion
0,35,928.9312532463555,0.4245855038322539,Comparacion
